id_municipio,id_estacao,estacao,data_fundacao,geolocalizacao,altitude
4208450,A851,ITAPOA,2007-06-06,POINT(-26.08138888 -48.64166666),6.18
5213509,A032,MONTE ALEGRE DE GOIAS,2007-06-07,POINT(-13.25361111 -46.89027777),552
3170404,A542,UNAI,2007-06-16,POINT(-16.55416666 -46.88194443),640.85
4218905,A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,2007-06-17,POINT(-28.12694443 -49.47972221),1790.38
3109303,A544,BURITIS,2007-06-19,POINT(-15.52416666 -46.43555555),894
3116159,A548,CHAPADA GAUCHA,2007-06-22,POINT(-15.30027777 -45.61749999),873.2
3510807,A738,CASA BRANCA,2007-06-25,POINT(-21.78055554 -47.07527777),734.15
3142700,A526,MONTALVANIA,2007-06-26,POINT(-14.40833333 -44.40416666),519.52
3130051,A547,SAO ROMAO,2007-06-30,POINT(-16.36277777 -45.12388888),490.29
3151206,A545,PIRAPORA,2007-07-04,POINT(-17.258064 -44.835556),505.32
3136306,A553,JOAO PINHEIRO,2007-07-07,POINT(-17.78444444 -46.11944443),877.05
2606002,A322,GARANHUNS,2007-07-08,POINT(-8.91083333 -36.49333333),827.78
2311405,A325,QUIXERAMOBIM,2007-07-09,POINT(-5.17444443 -39.28944444),221.04
1100809,A925,PORTO VELHO,2007-07-11,POINT(-8.7936111 -63.84583333),86.7
3128600,A546,GUARDA-MOR,2007-07-11,POINT(-17.56138888 -47.19916666),997.01
2706307,A327,PALMEIRA DOS INDIOS,2007-07-11,POINT(-9.42027777 -36.62027777),278.01
4318309,A832,SAO GABRIEL,2007-07-11,POINT(-30.34138888 -54.31083333),114.89
2313302,A324,TAUA,2007-07-12,POINT(-6.01749999 -40.28138888),410.87
5201702,A013,ARAGARCAS,2007-07-13,POINT(-15.90277777 -52.24527777),327.35
2706406,A323,PAO DE ACUCAR,2007-07-14,POINT(-9.74916666 -37.43083332),20.83
2209302,A326,BOM JESUS DO PIAUI,2007-07-17,POINT(-9.07999999 -44.32777777),288
5101852,A916,QUERENCIA,2007-07-18,POINT(-12.60305555 -52.1625),355
5208905,A014,GOIAS,2007-07-18,POINT(-15.93972221 -50.14138888),512.86
4318002,A830,SAO BORJA,2007-07-21,POINT(-28.65 -56.01638888),79
2514602,A321,PATOS,2007-07-21,POINT(-7.07972221 -37.27277777),263.66
2507507,A320,JOAO PESSOA,2007-07-21,POINT(-7.14083333 -34.85083333),43
4318903,A852,SAO LUIZ GONZAGA,2007-07-25,POINT(-28.41722221 -54.9625),245.5
3139607,A540,MANTENA,2007-08-01,POINT(-18.78055554 -40.98638888),254.91
3101102,A534,AIMORES,2007-08-05,POINT(-19.53277777 -41.09083333),301
3204609,A613,SANTA TERESA,2007-08-09,POINT(-19.98833333 -40.57944443),975.92
3555802,A733,JALES,2007-08-22,POINT(-20.165 -50.59499999),460.44
2509701,A334,MONTEIRO,2007-08-22,POINT(-7.89444444 -37.12472221),606.39
2308708,A332,MORADA NOVA,2007-08-24,POINT(-5.0911111 -38.36472222),93
2210003,A331,SAO JOAO DO PIAUI,2007-08-26,POINT(-8.36444444 -42.2525),231
3506201,A734,VALPARAISO,2007-08-30,POINT(-21.31916666 -50.93027777),381.9
3112307,A541,CAPELINHA,2007-08-31,POINT(-17.70555555 -42.38916666),932.06
2207801,A330,PAULISTANA,2007-08-31,POINT(-8.13222221 -41.14305555),376
2208403,A335,PIRIPIRI,2007-08-31,POINT(-4.2761111 -41.79444444),157.89
3539608,A735,JOSE BONIFACIO,2007-09-03,POINT(-21.08555555 -49.92027777),408.35
2603009,A329,CABROBO,2007-09-04,POINT(-8.50388888 -39.31527777),342.74
3133303,A550,ITAOBIM,2007-09-05,POINT(-16.57555554 -41.48555555),271.63
3101003,A549,AGUAS VERMELHAS,2007-09-09,POINT(-15.75166666 -41.45777777),754.07
3157005,A552,SALINAS,2007-09-14,POINT(-16.16027777 -42.31027777),487.14
4209003,A841,JOACABA,2007-09-20,POINT(-27.16916666 -51.55888888),767.63
5217401,A033,PIRES DO RIO,2007-10-12,POINT(-17.30416666 -48.28416666),757.27
1508001,A213,TOME ACU,2007-10-14,POINT(-2.59249999 -48.36055555),42.95
4315305,A831,QUARAI,2007-10-17,POINT(-30.3686111 -56.43722221),103
1505502,A212,PARAGOMINAS,2007-10-18,POINT(-2.90055555 -47.49499999),88
2107258,A204,BALSAS,2007-10-26,POINT(-7.45555555 -46.02749999),271.03
3542305,A740,SAO LUIZ DO PARAITINGA,2007-11-01,POINT(-23.22833332 -45.41694443),874
5211503,A035,ITUMBIARA,2007-11-01,POINT(-18.40972222 -49.19194444),491.17
3522604,A739,ITAPIRA,2007-11-05,POINT(-22.415 -46.80527777),634.89
2509156,A333,SAO GONCALO,2007-11-06,POINT(-6.83583333 -38.31166666),237.04
4119806,A855,PLANALTO,2007-11-07,POINT(-25.72194443 -53.74805555),399.1
2928109,A416,CORRENTINA,2007-11-09,POINT(-13.33249999 -44.61749999),551.71
3519600,A737,IBITINGA,2007-11-09,POINT(-21.85555555 -48.79972221),496.75
2202505,A337,CARACOL,2007-11-10,POINT(-9.28583333 -43.32444443),515.3
